task,iteration,success,elapsed_ms,max_cost,timeout_ms,error
popBack-fixed-fHeap,1,true,5.907,14,15000,
popBack-fixed-fHeap,2,true,0.649,14,15000,
popBack-fixed-fHeap,3,true,0.528,14,15000,
popBack-fixed-gHeap,1,false,14999.861,14,15000,escher-ts could not synthesize 'popBack-fixed-gHeap' within the configured budget
popBack-fixed-gHeap,2,false,15000.051,14,15000,escher-ts could not synthesize 'popBack-fixed-gHeap' within the configured budget
popBack-fixed-gHeap,3,false,15000.037,14,15000,escher-ts could not synthesize 'popBack-fixed-gHeap' within the configured budget
popBack-fixed-env-pair,1,false,14999.974,14,15000,escher-ts could not synthesize 'popBack-fixed-env-pair' within the configured budget
popBack-fixed-env-pair,2,false,15000.423,14,15000,escher-ts could not synthesize 'popBack-fixed-env-pair' within the configured budget
popBack-fixed-env-pair,3,false,15000.176,14,15000,escher-ts could not synthesize 'popBack-fixed-env-pair' within the configured budget
